1.10,410.00,600.00,7.0,225.87,481.7,319,301.14,544.28,9.0,290.86,424.3,236,0,0,0,0,0,0,0,0,0,0
1.15,443.00,660.00,6.1,197.46,491.6,343,329.51,567.43,8.5,272.18,437.9,258,0,0,0,0,0,0,0,0,0,0
1.20,475.00,640.00,5.4,174.26,500.3,368,358.61,581.94,7.8,252.60,450.5,280,0,0,0,0,0,0,0,0,0,0
1.25,507.00,640.00,4.8,153.42,508.0,393,388.29,593.55,7.2,232.76,462.2,303,0,0,0,0,0,0,0,0,0,0
1.30,539.00,640.00,4.2,134.96,514.7,419,418.43,602.84,6.6,213.20,472.8,326,0,0,0,0,0,0,0,0,0,0
1.35,574.00,700.00,2.4,77.19,518.6,445,449.55,622.27,5.8,186.00,482.1,350,0,0,0,0,0,0,0,0,0,0
1.40,606.00,640.00,1.3,41.20,520.6,470,480.84,625.82,4.9,157.04,490.0,374,0,0,0,0,0,0,0,0,0,0
1.45,639.00,660.00,0.0,1.42,520.7,497,512.47,632.66,3.9,125.91,496.3,399,0,520,0,639,0,0,0,0,0,0
1.50,672.00,660.00,-0.9,-27.94,519.3,523,544.38,638.12,3.0,95.14,501.0,424,0,0,0,0,0,0,0,0,0,0
1.55,701.00,580.00,-1.7,-55.88,516.5,548,575.70,626.50,2.0,64.94,504.3,449,0,0,0,0,0,0,0,0,0,0
1.60,725.00,480.00,-1.8,-59.19,513.6,574,605.56,597.20,1.2,40.11,506.3,474,0,0,0,0,0,0,0,0,0,0
1.65,752.00,540.00,-1.8,-57.30,510.7,600,634.85,585.76,0.6,20.63,507.3,500,0,0,0,0,0,0,0,0,0,0
1.70,778.00,520.00,-2.4,-78.13,506.8,625,663.48,572.61,0.0,0.88,507.4,525,0,0,0,0,0,0,0,0,0,0
1.75,808.00,600.00,-2.4,-78.13,502.9,650,692.38,578.09,-0.5,-14.92,506.6,550,0,0,0,0,0,0,0,0,0,0
1.80,837.00,580.00,-2.4,-78.13,499.0,676,721.31,578.47,-0.9,-27.57,505.3,576,0,0,0,0,0,0,0,0,0,0
1.85,864.00,540.00,-2.7,-85.71,494.7,700,749.84,570.78,-1.2,-39.19,503.3,601,0,0,0,0,0,0,0,0,0,0
1.90,892.00,560.00,-2.5,-80.97,490.6,725,778.28,568.62,-1.5,-47.55,500.9,626,0,0,0,0,0,0,0,0,0,0
1.95,927.00,700.00,-2.7,-86.66,486.3,749,808.02,594.90,-1.7,-55.37,498.1,651,0,0,0,0,0,0,0,0,0,0
2.00,956.00,580.00,-2.7,-88.08,481.9,774,837.62,591.92,-1.9,-61.91,495.1,676,0,0,0,0,0,0,0,0,0,0
2.05,982.00,520.00,-2.6,-84.76,477.7,798,866.49,577.53,-2.1,-66.48,491.7,700,0,0,0,0,0,0,0,0,0,0
2.10,1008.00,520.00,-2.5,-81.45,473.6,821,894.79,566.03,-2.2,-69.48,488.3,725,0,0,0,0,0,0,0,0,0,0
2.15,1036.00,560.00,-2.9,-91.86,469.0,845,923.04,564.82,-2.3,-73.95,484.6,749,0,0,0,0,0,0,0,0,0,0
2.20,1063.00,540.00,-2.8,-89.02,464.6,868,951.03,559.86,-2.4,-76.97,480.7,773,0,0,0,0,0,0,0,0,0,0
2.25,1087.00,480.00,-2.7,-85.71,460.3,891,978.22,543.89,-2.4,-78.72,476.8,797,0,0,0,0,0,0,0,0,0,0
2.30,1114.00,540.00,-2.6,-85.24,456.0,914,1005.38,543.11,-2.5,-80.02,472.8,821,0,0,0,0,0,0,0,0,0,0
2.35,1139.00,500.00,-2.7,-87.13,451.7,937,1032.10,534.49,-2.5,-81.44,468.7,845,0,0,0,0,0,0,0,0,0,0
2.40,1166.00,540.00,-2.6,-84.29,447.4,959,1058.88,535.59,-2.5,-82.01,464.6,868,0,0,0,0,0,0,0,0,0,0
2.45,1190.00,480.00,-2.6,-83.34,443.3,982,1085.11,524.47,-2.6,-82.28,460.5,891,0,0,0,0,0,0,0,0,0,0
2.50,1216.00,520.00,-2.7,-85.71,439.0,1004,1111.28,523.58,-2.6,-82.96,456.3,914,0,0,0,0,0,0,0,0,0,0
2.55,1240.00,480.00,-2.5,-81.92,434.9,1026,1137.03,514.86,-2.6,-82.75,452.2,937,0,0,0,0,0,0,0,0,0,0
