4.901,670.796,120.693,-19.448,86.634,0.018
4.951,676.807,119.725,-19.288,86.616,0.016
5.001,682.769,118.765,-19.137,86.538,0.015
5.051,688.683,117.811,-19.005,86.423,0.02
5.101,694.55,116.864,-18.876,86.325,0.027
5.151,700.37,115.924,-18.724,86.29,0.03
5.201,706.143,114.991,-18.573,86.32,0.025
5.251,711.869,114.067,-18.412,86.402,0.019
5.301,717.55,113.15,-18.242,86.496,0.014
5.351,723.184,112.242,-18.09,86.543,0.011
5.401,728.774,111.341,-17.955,86.507,0.013
5.451,734.319,110.446,-17.838,86.399,0.018
5.501,739.819,109.557,-17.726,86.259,0.024
5.551,745.274,108.674,-17.614,86.137,0.028
5.601,750.686,107.796,-17.501,86.073,0.026
5.651,756.054,106.924,-17.358,86.088,0.021
5.701,761.379,106.06,-17.217,86.157,0.016
5.751,766.66,105.202,-17.08,86.242,0.01
5.801,771.899,104.352,-16.939,86.306,0.006
5.851,777.095,103.508,-16.832,86.314,0.002
5.901,782.25,102.669,-16.715,86.276,0.006
5.951,787.362,101.836,-16.609,86.199,0.015
6.001,792.434,101.009,-16.499,86.097,0.025
6.051,797.463,100.186,-16.405,85.984,0.029
6.101,802.452,99.368,-16.294,85.885,0.031
6.151,807.4,98.556,-16.202,85.808,0.031
6.201,812.308,97.749,-16.094,85.77,0.029
6.251,817.175,96.946,-15.992,85.774,0.023
6.301,822.003,96.15,-15.869,85.815,0.016
6.351,826.79,95.359,-15.761,85.862,0.012
6.401,831.539,94.574,-15.647,85.892,0.012
6.451,836.248,93.794,-15.559,85.883,0.014
6.501,840.918,93.019,-15.456,85.844,0.017
6.551,845.55,92.248,-15.369,85.769,0.021
6.601,850.143,91.482,-15.286,85.672,0.023
6.651,854.698,90.719,-15.206,85.574,0.022
6.701,859.215,89.961,-15.123,85.497,0.018
6.751,863.694,89.207,-15.028,85.451,0.012
6.801,868.136,88.458,-14.941,85.43,0.007
6.851,872.54,87.713,-14.863,85.437,0.005
6.901,876.907,86.972,-14.768,85.48,0.004
